Time & Date,Currency,Amount,Payment Type,Payment Provider,City,Order Type,Order ID,Name,Quantity,Discount,Shipping,Status
"26/7/2022, 01:37:14 PM",INR,489,Single payment,Offline Payments,Muzaffarpur,eCom Platform,11185,"Nudes, Bills (Only 1) Gloss Tube:Normal Wand",2,,150,Successful
"26/7/2022, 10:47:25 AM",INR,299,Single payment,Offline Payments,Bhiwandi,eCom Platform,11184,Lavendor Lip Oil,1,,150,Successful
"1/7/2022, 1:57:13 PM",INR,579.5,Single payment,Razorpay,Bengaluru,eCom Platform,11183,"Magic, Power, Sunrays, Sangria (Only 1) Gloss Tube:Sample(3ml), Woody (Only 1) Gloss Tube:Sample(3ml)",5,55.5,80,Successful
"30/6/2022, 10:50:00 AM",INR,170,Single payment,Razorpay,Prayagraj,eCom Platform,11182,Dinero (Only 1) Gloss Tube:Sample(3ml),1,,80,Successful
"19/6/2022, 08:38:48 AM",INR,"1,044.00",Single payment,Offline Payments,Agra,eCom Platform,11181,"Brown Sugar Lip and Cheek Tint, Mandarin Lip and Cheek Tint",6,,150,Successful
"16/6/2022, 01:02:19 PM",INR,229,Single payment,Razorpay,Haldwani,eCom Platform,11180,Brown Sugar Lip and Cheek Tint,1,,80,Successful
"16/6/2022, 08:33:56 AM",INR,378,Single payment,Razorpay,Bangalore,eCom Platform,11179,"Brown Sugar Lip and Cheek Tint, Lavendor Lip Oil",2,,80,Successful
"15/6/2022, 04:34:20 PM",INR,525,Single payment,Offline Payments,Mumbai,eCom Platform,11178,"Magic, Sunrays, Power",3,,150,Successful
"12/6/2022, 8:38:00 AM",INR,260,Single payment,Razorpay,Bengaluru,eCom Platform,11177,"Ruby (Only 1) Gloss Tube:Sample(1ml), Dinero (Only 1) Gloss Tube:Sample(1ml), Woody (Only 1) Gloss Tube:Sample(1ml)",3,,80,Successful
"5/6/2022, 8:46:59 PM",INR,320,Single payment,Offline Payments,Karjat,eCom Platform,11176,"Ruby (Only 1) Gloss Tube:Sample(1ml), Dinero (Only 1) Gloss Tube:Sample(3ml), Sangria (Only 1) Gloss Tube:Sample(3ml)",3,,80,Successful
"3/6/2022, 1:25:49 PM",INR,260,Single payment,Razorpay,mumbai,eCom Platform,11175,"Bills (Only 1) Gloss Tube:Sample(1ml), Bubblegum (Only 1) Gloss Tube:Sample(1ml)",3,,80,Successful
"2/6/2022, 2:37:48 AM",INR,188,Single payment,Offline Payments,Naharlagun,eCom Platform,11174,"Woody (Only 1) Gloss Tube:Sample(1ml), Bills (Only 1) Gloss Tube:Sample(1ml)",2,12,80,Successful
"1/6/2022, 9:06:16 AM",INR,349.5,Single payment,Offline Payments,Agra,eCom Platform,11173,Eyelashes Select an Option:Nexus,1,,150,Successful
"31/5/2022, 03:24:27 PM",INR,832,Single payment,Razorpay,Gurugram,eCom Platform,11172,"Sunrise Body Butter, Mandarin Lip and Cheek Tint, Y2k Select an Option:Sample Gloss, Body Oil Select an Option:Purple Shimmer Oil, Sangria (Only 1) Gloss Tube:Sample(3ml)",5,,80,Successful
"31/5/2022, 02:25:15 PM",INR,215,Single payment,Razorpay,Surat,eCom Platform,11171,"Boba Gloss Select an Option:Sample Gloss, Y2k Select an Option:Sample Gloss",2,,80,Successful
"31/5/2022, 12:14:42 PM",INR,369,Single payment,Offline Payments,Nagpur,eCom Platform,11170,Body Oil Select an Option:Green Shimmer Oil,1,,150,Successful
"31/5/2022, 08:03:37 AM",INR,304.1,Single payment,Razorpay,New Delhi,eCom Platform,11169,Bills (Only 1) Gloss Tube:Normal Wand,1,24.9,80,Successful
"31/5/2022, 02:07:33 AM",INR,567.6,Single payment,Offline Payments,Bangalore,eCom Platform,11168,"Poo (Only 1) Gloss Tube:Sample(1ml), Nature Select an Option:Squeeze Tube, Tropical Vibes Body Butter",4,46.4,150,Successful
"30/5/2022, 10:31:25 AM",INR,512.5,Single payment,Offline Payments,Moradabad,eCom Platform,11167,Heart Mirror Color::Pink,1,,150,Successful
"30/5/2022, 10:25:06 AM",INR,448,Single payment,Razorpay,Bengaluru,eCom Platform,11166,"Boujee Lip Oil, Tropical Vibes Body Butter",2,,80,Successful
"29/5/2022, 09:58:25 AM",INR,609.2,Single payment,Razorpay,Chennai,eCom Platform,11160,"Lavendor Lip Oil, Golden Berry Body Scrub, Pearl Lash Glue Liner Select an Option:Black",3,58.8,80,Successful
"29/5/2022, 09:41:30 AM",INR,"1,262.00",Single payment,Razorpay,Hyderabad,eCom Platform,11159,"Sunset Body Butter, Sangria (Only 1) Gloss Tube:Sample(3ml), Dinero (Only 1) Gloss Tube:Sample(3ml), Purr, Grey Furry Scrunchie, Light Yellow Zipper Scrunchie, Yellow Zipper Scrunchie, Heart Mirror Color::Lavendor, Cotton Candy Lip Scrub",9,,80,Successful
"29/5/2022, 09:22:44 AM",INR,518,Single payment,Razorpay,Bangalore,eCom Platform,11158,"Sunset Body Butter, Rainbow Body Butter Select an Option:Blue Purple Yellow White",2,,80,Successful
"29/5/2022, 04:46:26 AM",INR,242.5,Single payment,Razorpay,Indore,eCom Platform,11155,Valentina Lip and Cheek Tint,1,,80,Successful
"29/5/2022, 04:23:32 AM",INR,584.45,Single payment,Razorpay,Zirakpur,eCom Platform,11154,"Valentina Lip and Cheek Tint, Brown Sugar Lip and Cheek Tint, Bills (Only 1) Gloss Tube:Normal Wand",3,56.05,80,Successful
"29/5/2022, 03:48:06 AM",INR,338.75,Single payment,Razorpay,Ghaziabad,eCom Platform,11153,"Sunset, Valentina Lip and Cheek Tint",2,28.75,80,Successful
"29/5/2022, 03:21:49 AM",INR,"1,397.00",Single payment,Razorpay,New Delhi,eCom Platform,11152,"Sangria (Only 1) Gloss Tube:Normal Wand, Ruby (Only 1) Gloss Tube:Sample(3ml), Pearl Lash Glue Liner Select an Option:Clear, Diamond Lash Glue Liner Select an Option:Black, Sunset Body Butter, Golden Berry Body Scrub",8,,,Successful
"29/5/2022, 02:37:02 AM",INR,329,Single payment,Razorpay,JAMSHEDPUR,eCom Platform,11151,Bills (Only 1) Gloss Tube:Normal Wand,1,,80,Successful
"29/5/2022, 02:20:36 AM",INR,"1,218.15",Single payment,Razorpay,Navimumbai,eCom Platform,11149,"Valentina Lip and Cheek Tint, Dinero (Only 1) Gloss Tube:Sample(3ml), Bills (Only 1) Gloss Tube:Normal Wand, Sangria (Only 1) Gloss Tube:Normal Wand, Lucid (Only 1) Gloss Tube:Sample(1ml), Sunset, Baby Blue Organza Scrunchie, Lilac Organza Scrunchie, Ruby (Only 1) Gloss Tube:Sample(3ml), Body Oil Select an Option:Rose Petal Infused Body Oil, Bubblegum (Only 1) Gloss Tube:Sample(1ml)",11,135.35,,Successful
"29/5/2022, 02:18:00 AM",INR,755.45,Single payment,Razorpay,Navi Mumbai,eCom Platform,11148,"Bills (Only 1) Gloss Tube:Normal Wand, Sangria (Only 1) Gloss Tube:Normal Wand, Valentina Lip and Cheek Tint, Woody (Only 1) Gloss Tube:Sample(3ml)",4,75.05,80,Successful
"29/5/2022, 02:10:55 AM",INR,260,Single payment,Razorpay,Mumbai,eCom Platform,11147,Lucid (Only 1) Gloss Tube:Sample(1ml),3,,80,Successful
"27/5/2022, 01:58:51 AM",INR,417.5,Single payment,Razorpay,Pune,eCom Platform,11145,"Lip Mask, Boba Gloss Select an Option:Nude, Black Polka Scrunchie",3,,80,Successful
"24/5/2022, 09:35:50 AM",INR,342.5,Single payment,Razorpay,Kolkata,eCom Platform,11142,Lash & Brow Growth Oil,1,,80,Successful
"22/5/2022, 09:15:00 AM",INR,"1,512.50",Single payment,Razorpay,New Delhi,eCom Platform,11139,"Valentina Lip and Cheek Tint, Lavendor Lip Oil, Boba Gloss Select an Option:Nude, Heart Mirror Color::Lavendor, Lash & Brow Growth Oil, Diamond Lash Glue Liner Select an Option:Black",6,,,Successful
"22/5/2022, 07:38:38 AM",INR,230,Single payment,Razorpay,Nagpur,eCom Platform,11137,Sangria (Only 1) Gloss Tube:Sample(3ml),1,,80,Successful
"22/5/2022, 07:03:59 AM",INR,655,Single payment,Razorpay,Bhopal,eCom Platform,11135,"Body Oil Select an Option:Rose Petal Infused Body Oil, Ruby (Only 1) Gloss Tube:Sample(3ml), Lucid (Only 1) Gloss Tube:Sample(3ml)",3,,80,Successful
"21/5/2022, 08:03:05 AM",INR,267.5,Single payment,Razorpay,Hyderabad,eCom Platform,11133,Boujee Lip Oil,1,,80,Successful
"19/5/2022, 03:47:44 PM",INR,"1,040.00",Single payment,Razorpay,Lavasa,eCom Platform,11132,"Bills (Only 1) Gloss Tube:Normal Wand, Dinero (Only 1) Gloss Tube:Normal Wand, Sangria (Only 1) Gloss Tube:Normal Wand",3,,80,Successful
"18/5/2022, 08:11:30 AM",INR,470,Single payment,Razorpay,Bengaluru,eCom Platform,11129,"Ruby (Only 1) Gloss Tube:Sample(3ml), Nudes, Sangria (Only 1) Gloss Tube:Sample(3ml)",3,,80,Successful
"18/5/2022, 07:15:46 AM",INR,"1,200.00",Single payment,Razorpay,Gurugram,eCom Platform,11128,"Ruby (Only 1) Gloss Tube:Normal Wand, Lucid (Only 1) Gloss Tube:Normal Wand, Poo (Only 1) Gloss Tube:Normal Wand, Sangria (Only 1) Gloss Tube:Sample(1ml), Dinero (Only 1) Gloss Tube:Sample(3ml)",5,,,Successful
"18/5/2022, 05:27:54 AM",INR,400,Single payment,Razorpay,Gurgaon,eCom Platform,11127,Golden Berry Body Scrub,1,,80,Successful
"18/5/2022, 04:15:25 AM",INR,342.5,Single payment,Razorpay,New Delhi,eCom Platform,11126,Lash & Brow Growth Oil,1,,80,Successful
"18/5/2022, 02:30:36 AM",INR,"1,232.50",Single payment,Razorpay,Bengaluru,eCom Platform,11125,"Brown Sugar Lip and Cheek Tint, Golden Berry Body Scrub, Gloss Pack",3,,,Successful
"17/5/2022, 10:07:20 AM",INR,562.5,Single payment,Razorpay,Chennai,eCom Platform,11123,"Bills (Only 1) Gloss Tube:Normal Wand, Brown Sugar Lip and Cheek Tint",2,,80,Successful
"17/5/2022, 10:04:20 AM",INR,400,Single payment,Razorpay,Hyderabad,eCom Platform,11122,Sangria (Only 1) Gloss Tube:Normal Wand,1,,80,Successful
"17/5/2022, 09:55:34 AM",INR,382,Single payment,Razorpay,मुंबई,eCom Platform,11121,Bills (Only 1) Gloss Tube:Normal Wand,1,18,80,Successful
"17/5/2022, 09:06:20 AM",INR,"1,040.00",Single payment,Razorpay,Mumbai,eCom Platform,11120,"Golden Berry Body Scrub, Dinero (Only 1) Gloss Tube:Normal Wand, Bills (Only 1) Gloss Tube:Normal Wand",3,,80,Successful
"17/5/2022, 08:24:44 AM",INR,"1,095.00",Single payment,Razorpay,New Delhi,eCom Platform,11119,"Bills (Only 1) Gloss Tube:Normal Wand, Ruby (Only 1) Gloss Tube:Normal Wand, Sunrays, Y2k Select an Option:Squeeze Tube",5,,80,Successful
"17/5/2022, 07:40:11 AM",INR,550,Single payment,Razorpay,Kolkata,eCom Platform,11118,"Woody (Only 1) Gloss Tube:Normal Wand, Ruby (Only 1) Gloss Tube:Sample(3ml)",2,,80,Successful
"17/5/2022, 07:05:52 AM",INR,830,Single payment,Razorpay,Mumbai,eCom Platform,11117,Gloss Pack,1,,80,Successful
"17/5/2022, 02:16:03 AM",INR,580,Single payment,Razorpay,Hyderabad,eCom Platform,11113,"24K rose Lip Oil Gloss Select an Option:Big doe wand, Nature Select an Option:Phat Wand",2,,80,Successful
"17/5/2022, 02:11:08 AM",INR,720,Single payment,Razorpay,Mysore,eCom Platform,11112,"Bubblegum (Only 1) Gloss Tube:Normal Wand, Sangria (Only 1) Gloss Tube:Normal Wand",2,,80,Successful
"17/5/2022, 02:07:27 AM",INR,"1,520.00",Single payment,Razorpay,Mumbai,eCom Platform,11111,"Poo (Only 1) Gloss Tube:Normal Wand, Golden Berry",5,80,,Successful
"13/5/2022, 01:50:58 PM",INR,372.5,Single payment,Razorpay,Hyderabad,eCom Platform,11110,Valentina Lip and Cheek Tint,2,32.5,80,Successful
"11/5/2022, 11:18:38 PM",INR,330,Single payment,Razorpay,Agartala,eCom Platform,11105,Lucid Select an Option:Big doe wand,1,,80,Successful
"11/5/2022, 6:23:16 AM",INR,392.5,Single payment,Razorpay,Nagpur,eCom Platform,11102,"Blueberry Lip  Scrub, Y2k Select an Option:Squeeze Tube",2,,80,Successful
"9/5/2022, 10:07:04 AM",INR,392.5,Single payment,Razorpay,Jodhpur,eCom Platform,11100,"Valentina Lip and Cheek Tint, Ruby Select an Option:Sample Gloss, Bitchy Peachy Select an Option:Sample Gloss",3,,80,Successful
"8/5/2022, 3:45:18 AM",INR,"1,519.50",Single payment,Razorpay,Kolkata,eCom Platform,11098,"Heart Mirror Color::Lavendor, Pearl Lash Glue Liner Select an Option:Black, Grey Polka Scrunchie, Yellow Polka Scrunchie, Polka Scurnchie, Gingham Scrunchie (3), Pink Fruit Scrunchie, Brown Crushed Cloth Scrunchie, Gingham Organza Scrunchie(3), Normal Wand Glosses Select an Option:Bubblegum, Bitchy Peachy Select an Option:Cylindrical Tube, Green Polka Scrunchie",12,,,Successful
"7/5/2022, 3:38:20 PM",INR,"1,295.00",Single payment,Razorpay,New Delhi,eCom Platform,11096,"24K rose Lip Oil Gloss, Mint Green Scrunchie, Lavendor Lip Oil, Normal Wand Glosses Select an Option:Woody, Body Oil Select an Option:Copper Shimmer oil, Cotton Candy Lip Scrub, Brown Sugar Lip and Cheek Tint",7,,,Successful
"7/5/2022, 1:27:24 PM",INR,530,Single payment,Razorpay,New Delhi,eCom Platform,11095,"Lash & Brow Growth Oil, 24K rose Lip Oil Gloss",2,,80,Successful
"7/5/2022, 7:15:19 AM",INR,234.37,Single payment,Razorpay,Kolkata,eCom Platform,11094,Valentina Lip and Cheek Tint,1,8.13,80,Successful
"6/5/2022, 7:09:09 AM",INR,815.5,Single payment,Razorpay,"Chennai, Tamil Nadu, India",eCom Platform,11092,"Mint Green Scrunchie, Cream Scrunchie, Baby Pink Scrunchie, Brown Scrunchie, Ocean Blue Crushed Cloth Scrunchie, Sunrays, Ruby Select an Option:Sample Gloss, Baby Blue Zipper Scrunchie, Purple Heaven, Brown Crushed Cloth Scrunchie, Coffee Brown Zipper Scrunchie, Deep yellow Zipper Scrunchie",13,,80,Successful
"6/5/2022, 7:07:01 AM",INR,815.5,Single payment,Razorpay,"Chennai, Tamil Nadu, India",eCom Platform,aeeffbbf-4d31-4fd0-abce-d72956ec3ddb,"Mint Green Scrunchie, Cream Scrunchie, Baby Pink Scrunchie, Brown Scrunchie, Ocean Blue Crushed Cloth Scrunchie, Sunrays, Ruby Select an Option:Sample Gloss, Baby Blue Zipper Scrunchie, Purple Heaven, Brown Crushed Cloth Scrunchie, Coffee Brown Zipper Scrunchie, Deep yellow Zipper Scrunchie",13,,80,Declined
"5/5/2022, 10:54:23 AM",INR,677.5,Single payment,Razorpay,Delhi,eCom Platform,11090,"Boujee Lip Oil, Cotton Candy Lip Scrub, Lip Mask, Valentina Lip and Cheek Tint",4,,80,Successful
"5/5/2022, 6:57:26 AM",INR,567.5,Single payment,Razorpay,Mumbai,eCom Platform,11085,"Boba Gloss Select an Option:Nude, Lucid Select an Option:Big doe wand",2,,80,Successful
"4/5/2022, 1:27:42 PM",INR,965,Single payment,Razorpay,CHENNAI,eCom Platform,11084,"24K rose Lip Oil Gloss, Valentina Lip and Cheek Tint, Lip Mask, Cotton Candy Lip Scrub, Tropical Vibes Body Scrub",5,,80,Successful
"4/5/2022, 12:19:41 PM",INR,980,Single payment,Razorpay,Lucknow,eCom Platform,11083,"Sunset Body Butter, Rainbow Body Butter Select an Option:Blue Purple Yellow White, Baddie Bundle",3,,80,Successful
"4/5/2022, 11:40:28 AM",INR,226.25,Single payment,Razorpay,Delhi,eCom Platform,11081,Valentina Lip and Cheek Tint,1,16.25,80,Successful
"4/5/2022, 11:26:06 AM",INR,317.5,Single payment,Razorpay,Kolkata,eCom Platform,11079,"Valentina Lip and Cheek Tint, Woody Select an Option:Sample Gloss",2,,80,Successful
"4/5/2022, 11:12:11 AM",INR,242.5,Single payment,Razorpay,Kanpur,eCom Platform,11077,Valentina Lip and Cheek Tint,1,,80,Successful
"3/5/2022, 1:36:03 AM",INR,367.5,Single payment,Razorpay,Pune,eCom Platform,11073,"Brown Sugar Lip and Cheek Tint, Y2k Select an Option:Squeeze Tube",2,,80,Successful
"3/5/2022, 12:34:55 AM",INR,342.5,Single payment,Razorpay,New Delhi,eCom Platform,11071,Normal Wand Glosses Select an Option:Woody,1,,80,Successful
"2/5/2022, 6:35:39 AM",INR,"1,282.50",Single payment,Razorpay,Hyderabad,eCom Platform,11070,"Kiwi Lip Scrub, Heart Mirror Color::Baby Pink, Violet Crushed Cloth Scrunchie, Lip Mask, Brown Crushed Cloth Scrunchie, Cotton Candy Lip Scrub, Peach Lip Scrub, Brown Sugar Lip and Cheek Tint",9,,,Successful
"2/5/2022, 3:30:10 AM",INR,230,Single payment,Razorpay,Gandhinagar,eCom Platform,11069,Woody Select an Option:Sample Gloss,2,,80,Successful
"2/5/2022, 1:00:17 AM",INR,765,Single payment,Razorpay,Kollam,eCom Platform,11068,"Lip Mask, 24K rose Lip Oil Gloss, Bubblegum Select an Option:Sample Gloss, Bitchy Peachy Select an Option:Squeeze Tube, Y2k Select an Option:Sample Gloss, Valentina Lip and Cheek Tint",6,,80,Successful
"1/5/2022, 2:55:31 PM",INR,605,Single payment,Razorpay,Sirsa,eCom Platform,11062,"Valentina Lip and Cheek Tint, Sangria Select an Option:Sample Gloss, Sunrise Body Scrub",3,,80,Successful
"1/5/2022, 1:57:12 PM",INR,355,Single payment,Razorpay,Mumbai,eCom Platform,11061,Body Oil Select an Option:Turqouise Shimmer Oil,1,,80,Successful
"1/5/2022, 12:45:09 PM",INR,242.5,Single payment,Razorpay,Gurugram,eCom Platform,11058,Valentina Lip and Cheek Tint,1,,80,Successful
"1/5/2022, 12:37:53 PM",INR,242.5,Single payment,Razorpay,Kolkata,eCom Platform,11056,Valentina Lip and Cheek Tint,1,,80,Successful
"1/5/2022, 12:23:57 PM",INR,242.5,Single payment,Razorpay,Navi Mumbai,eCom Platform,11055,Valentina Lip and Cheek Tint,1,,80,Successful
"1/5/2022, 11:53:56 AM",INR,592.5,Single payment,Razorpay,Pune,eCom Platform,11054,"Y2k Select an Option:Big doe wand, Normal Wand Glosses Select an Option:Woody",2,,80,Successful
"1/5/2022, 10:47:37 AM",INR,580,Single payment,Razorpay,Hyderabad,eCom Platform,11053,"Bitchy Peachy Select an Option:Big doe wand, Lucid Select an Option:Big doe wand",2,,80,Successful
"1/5/2022, 9:37:03 AM",INR,605,Single payment,Razorpay,Koraput,eCom Platform,11051,"Lucid Select an Option:Big doe wand, Body Oil Select an Option:Purple Shimmer Oil",2,,80,Successful
"1/5/2022, 8:50:43 AM",INR,330,Single payment,Razorpay,New Delhi,eCom Platform,11049,"Nudes Select an Option:Squeeze Tube, Bitchy Peachy Select an Option:Squeeze Tube",2,,80,Successful
"1/5/2022, 8:47:13 AM",INR,305,Single payment,Razorpay,mumbai,eCom Platform,11048,Lucid Select an Option:Big doe wand,1,25,80,Successful
"1/5/2022, 8:28:28 AM",INR,155,Single payment,Razorpay,Gandhinagar,eCom Platform,ed6feb44-93fa-4ad1-82e7-95544b31319f,Woody Select an Option:Sample Gloss,2,,80,Declined
"1/5/2022, 7:27:29 AM",INR,597.5,Single payment,Razorpay,Navi Mumbai,eCom Platform,11047,"Pink Scrunchie, Orange Scrunchie, Lilac Organza Scrunchie, Baby Blue Organza Scrunchie, Gingham Scrunchie (2), Lemon Scrunchie (1), Pink Fruit Scrunchie, Olive Zipper Scrunchie, Sunrise Body Scrub",9,57.5,80,Successful
"1/5/2022, 7:03:58 AM",INR,462.5,Single payment,Razorpay,Kolkata,eCom Platform,11046,"Brown Sugar Lip and Cheek Tint, Hibiscus Lip OIl, Cream Scrunchie",3,,80,Successful
"1/5/2022, 4:00:08 AM",INR,955,Single payment,Razorpay,Bangalore,eCom Platform,11042,"24K rose Lip Oil Gloss, Normal Wand Glosses Select an Option:Woody, Normal Wand Glosses Select an Option:Bubblegum, Mandarin Lip and Cheek Tint",4,,80,Successful
"1/5/2022, 3:58:45 AM",INR,705,Single payment,Razorpay,Noida,eCom Platform,11041,"Heart Mirror Color::Lavendor, Normal Wand Glosses Select an Option:Bills",2,,80,Successful
"1/5/2022, 3:47:21 AM",INR,480,Single payment,Razorpay,Nagpur,eCom Platform,11040,"Y2k Select an Option:Big doe wand, Euphoria Select an Option:Sample Gloss, Bills Select an Option:Sample Gloss",3,,80,Successful
"1/5/2022, 3:20:47 AM",INR,"1,101.25",Single payment,Razorpay,Haryana,eCom Platform,11037,"Ruby Select an Option:Sample Gloss, Y2k Select an Option:Big doe wand, Lucid Select an Option:Big doe wand, Poo Select an Option:Big doe wand",5,53.75,80,Successful
"1/5/2022, 2:59:40 AM",INR,709.55,Single payment,Razorpay,Mumbai,eCom Platform,11036,"Mandarin Lip and Cheek Tint, Bebe Rosa, Dark Grey Zipper Scrunchie, Nudes Select an Option:Sample Gloss, Poo Select an Option:Big doe wand",5,69.95,80,Successful
"1/5/2022, 2:54:49 AM",INR,580,Single payment,Razorpay,Shakthinagar,eCom Platform,11035,"Wicked Select an Option:Sample Gloss, Nudes Select an Option:Squeeze Tube, Bubblegum Select an Option:Sample Gloss, Ruby Select an Option:Sample Gloss, Sangria Select an Option:Sample Gloss",6,,80,Successful
"1/5/2022, 2:51:52 AM",INR,230,Single payment,Razorpay,Dehradun,eCom Platform,11034,"Euphoria Select an Option:Sample Gloss, Y2k Select an Option:Sample Gloss",2,,80,Successful
"1/5/2022, 2:50:44 AM",INR,325,Single payment,Razorpay,Hyderabad,eCom Platform,11033,"Pink Scrunchie, Black Polka Scrunchie, Yellow Crushed Cloth Scrunchie, Gingham Scrunchie(1), Baby Pink Scrunchie, Orange Scrunchie, Gingham Scrunchie (3)",7,,80,Successful
"1/5/2022, 2:46:55 AM",INR,"1,151.12",Single payment,Razorpay,Srinagar,eCom Platform,11032,"Woody Select an Option:Big doe wand, Nudes Select an Option:Squeeze Tube, Ruby Select an Option:Big doe wand, Euphoria Select an Option:Squeeze Tube, Lucid Select an Option:Big doe wand, Tweezers",6,56.38,80,Successful
"1/5/2022, 2:42:02 AM",INR,"2,112.50",Single payment,Razorpay,Gurgaon,eCom Platform,11031,"Body Oil Select an Option:Copper Shimmer oil, Euphoria Select an Option:Big doe wand, Woody Select an Option:Big doe wand, Sangria Select an Option:Squeeze Tube, Lash & Brow Growth Oil, Sunrise Body Scrub, Tropical Vibes Body Scrub, Boujee Lip Oil, Magic Potion",9,,,Successful
"1/5/2022, 2:29:40 AM",INR,267.5,Single payment,Razorpay,Nashik,eCom Platform,11030,24K rose Lip Oil Gloss,1,,80,Successful
"1/5/2022, 2:27:11 AM",INR,370,Single payment,Razorpay,Bengaluru,eCom Platform,11029,"Y2k Select an Option:Big doe wand, Green Polka Scrunchie",2,,80,Successful
"1/5/2022, 2:20:15 AM",INR,355,Single payment,Razorpay,Jamshedpur,eCom Platform,11028,"Y2k Select an Option:Squeeze Tube, Bills Select an Option:Sample Gloss",3,,80,Successful
"1/5/2022, 2:16:03 AM",INR,395,Single payment,Razorpay,New Delhi,eCom Platform,11027,Make your own sample Bundle Gloss 5:Sangria | Gloss 4:Euphoria | Gloss 3:Bills | Gloss 2:Dinero | Gloss 1:Woody,1,35,80,Successful
"1/5/2022, 1:49:42 AM",INR,330,Single payment,Razorpay,Bangalore,eCom Platform,11026,Woody Select an Option:Big doe wand,1,,80,Successful
"1/5/2022, 1:44:00 AM",INR,"1,674.36",Single payment,Razorpay,Agartala,eCom Platform,11025,"Y2k Select an Option:Big doe wand, Woody Select an Option:Big doe wand, Bubblegum Select an Option:Big doe wand, Peach Lip Scrub, Sunset Body Butter, Heather Body Scrub, Normal Wand Glosses Select an Option:Bills",7,88.14,,Successful
"1/5/2022, 1:35:45 AM",INR,566.87,Single payment,Razorpay,Candolim,eCom Platform,11024,"Woody Select an Option:Big doe wand, Lash & Brow Growth Oil",2,25.63,80,Successful
"1/5/2022, 1:35:12 AM",INR,505,Single payment,Razorpay,Mysore,eCom Platform,11023,"Mandarin Lip and Cheek Tint, Lash & Brow Growth Oil",2,,80,Successful
"1/5/2022, 1:30:34 AM",INR,732.5,Single payment,Razorpay,Kolkata,eCom Platform,11021,"Boba Gloss Select an Option:Nude, 24K rose Lip Oil Gloss, Diamond Lash Glue Liner Select an Option:Clear",3,72.5,80,Successful
"1/5/2022, 1:11:51 AM",INR,451.25,Single payment,Razorpay,Faridabad,eCom Platform,11020,"Nudes Select an Option:Big doe wand, Brown Sugar Lip and Cheek Tint",2,41.25,80,Successful
"1/5/2022, 1:01:08 AM",INR,405,Single payment,Razorpay,Jaipur,eCom Platform,11017,"Moonlight Select an Option:Sample Gloss, Lucid Select an Option:Big doe wand",2,,80,Successful
"1/5/2022, 12:59:51 AM",INR,492.5,Single payment,Razorpay,Mumbai,eCom Platform,11018,"Bebe Rosa, Lucid Select an Option:Big doe wand",2,,80,Successful
"1/5/2022, 12:58:41 AM",INR,305,Single payment,Razorpay,Pune,eCom Platform,11016,"Woody Select an Option:Sample Gloss, Ruby Select an Option:Sample Gloss, Sangria Select an Option:Sample Gloss",3,,80,Successful
